iter	Passed	Remaining
821	6635	5473
822	6643	5464
823	6649	5454
824	6655	5445
825	6660	5435
826	6667	5425
827	6676	5418
828	6681	5408
829	6688	5399
830	6701	5394
831	6708	5386
832	6714	5376
833	6721	5367
834	6727	5357
835	6733	5348
836	6740	5339
837	6746	5329
838	6754	5321
839	6760	5312
840	6768	5303
841	6776	5295
842	6783	5287
843	6793	5279
844	6801	5271
845	6810	5264
846	6817	5255
847	6826	5248
848	6833	5240
849	6851	5239
850	6862	5233
851	6872	5226
852	6882	5220
853	6893	5214
854	6904	5208
855	6912	5200
856	6920	5192
857	6930	5185
858	6939	5178
859	6948	5171
860	6957	5163
861	6966	5155
862	6985	5156
863	6998	5151
864	7009	5145
865	7016	5137
866	7024	5128
867	7031	5119
868	7038	5111
869	7045	5101
870	7052	5093
871	7059	5084
872	7065	5074
873	7071	5065
874	7077	5055
875	7084	5046
876	7090	5037
877	7096	5027
878	7102	5018
879	7109	5008
880	7116	4999
881	7121	4990
882	7128	4980
883	7134	4971
884	7140	4962
885	7146	4952
886	7152	4942
887	7160	4934
888	7165	4925
889	7172	4916
890	7179	4907
891	7184	4897
892	7190	4887
893	7197	4879
894	7204	4869
895	7210	4860
896	7216	4850
897	7222	4841
898	7228	4832
899	7234	4823
900	7240	4813
901	7247	4804
902	7256	4797
903	7266	4790
904	7277	4784
905	7283	4775
906	7289	4765
907	7296	4756
908	7303	4748
909	7310	4739
910	7317	4731
911	7324	4722
912	7331	4713
913	7337	4704
914	7344	4695
915	7351	4687
916	7357	4677
917	7363	4668
918	7370	4659
919	7376	4650
920	7382	4640
921	7389	4632
922	7395	4623
923	7401	4613
924	7407	4604
925	7416	4597
926	7424	4589
927	7431	4580
928	7438	4571
929	7445	4563
930	7453	4555
931	7469	4552
932	7477	4544
933	7484	4535
934	7493	4528
935	7501	4519
936	7509	4512
937	7518	4504
938	7526	4496
939	7534	4488
940	7541	4480
941	7551	4473
942	7560	4465
943	7567	4456
944	7573	4448
945	7580	4439
946	7586	4430
947	7596	4423
948	7605	4415
949	7613	4407
950	7619	4398
951	7625	4389
952	7630	4379
953	7638	4371
954	7644	4362
955	7651	4353
956	7658	4345
957	7664	4336
958	7671	4327
959	7676	4318
960	7683	4309
961	7689	4300
962	7697	4292
963	7703	4283
964	7709	4274
965	7715	4264
966	7720	4255
967	7727	4246
968	7732	4237
969	7738	4228
970	7745	4219
971	7751	4210
972	7759	4202
973	7766	4194
974	7772	4185
975	7779	4176
976	7785	4167
977	7792	4158
978	7797	4149
979	7804	4141
980	7810	4132
981	7816	4123
982	7822	4114
983	7828	4105
984	7835	4096
985	7841	4087
986	7848	4079
987	7854	4070
988	7860	4061
989	7867	4052
990	7873	4044
991	7879	4035
992	7886	4026
993	7892	4017
994	7899	4009
995	7905	4000
996	7911	3991
997	7918	3983
998	7925	3974
999	7932	3966
1000	7938	3957
1001	7944	3948
1002	7961	3944
1003	7973	3939
1004	7983	3932
1005	7992	3924
1006	7999	3916
1007	8005	3907
1008	8012	3898
1009	8019	3890
1010	8026	3882
1011	8033	3873
1012	8039	3865
1013	8047	3856
1014	8053	3848
1015	8060	3839
1016	8066	3830
1017	8071	3821
1018	8078	3813
1019	8084	3804
1020	8090	3795
1021	8097	3787
1022	8104	3778
1023	8110	3770
1024	8117	3761
1025	8123	3753
1026	8130	3744
1027	8137	3736
1028	8143	3727
1029	8150	3719
1030	8158	3711
1031	8165	3702
1032	8171	3694
1033	8176	3685
1034	8184	3677
1035	8191	3668
1036	8197	3660
1037	8203	3651
1038	8209	3642
1039	8217	3634
1040	8224	3626
1041	8230	3617
1042	8237	3609
1043	8243	3600
1044	8251	3592
1045	8260	3585
1046	8267	3576
1047	8276	3569
1048	8284	3561
1049	8293	3554
1050	8306	3548
1051	8315	3541
1052	8323	3533
1053	8332	3525
1054	8339	3517
1055	8350	3511
1056	8357	3502
1057	8366	3495
1058	8373	3487
1059	8380	3478
1060	8387	3470
1061	8393	3461
1062	8400	3453
1063	8407	3445
1064	8414	3436
1065	8420	3428
1066	8427	3420
1067	8446	3416
1068	8455	3409
1069	8464	3401
1070	8471	3393
1071	8478	3385
1072	8486	3377
1073	8493	3369
1074	8499	3360
1075	8505	3351
1076	8512	3343
1077	8518	3334
1078	8524	3325
1079	8531	3317
1080	8538	3309
1081	8545	3301
1082	8551	3292
1083	8557	3284
1084	8563	3275
1085	8568	3266
1086	8575	3258
1087	8581	3249
