iter	Passed	Remaining
747	2548	858
748	2552	855
749	2556	852
750	2559	848
751	2563	845
752	2566	841
753	2570	838
754	2573	835
755	2577	831
756	2581	828
757	2585	825
758	2588	821
759	2590	818
760	2594	814
761	2597	811
762	2601	808
763	2604	804
764	2607	801
765	2610	797
766	2613	794
767	2617	790
768	2620	787
769	2624	783
770	2627	780
771	2630	776
772	2634	773
773	2638	770
774	2641	766
775	2644	763
776	2648	760
777	2652	756
778	2655	753
779	2658	749
780	2662	746
781	2666	743
782	2670	739
783	2673	736
784	2677	733
785	2679	729
786	2683	726
787	2687	722
788	2690	719
789	2693	716
790	2697	712
791	2700	709
792	2704	705
793	2707	702
794	2711	699
795	2715	695
796	2718	692
797	2721	688
798	2725	685
799	2729	682
800	2732	678
801	2735	675
802	2738	671
803	2741	668
804	2745	665
805	2749	661
806	2753	658
807	2757	655
808	2761	651
809	2764	648
810	2767	645
811	2770	641
812	2774	638
813	2778	634
814	2781	631
815	2784	627
816	2787	624
817	2793	621
818	2796	618
819	2800	614
820	2804	611
821	2807	608
822	2811	604
823	2815	601
824	2818	597
825	2821	594
826	2825	591
827	2828	587
828	2831	584
829	2834	580
830	2838	577
831	2842	573
832	2845	570
833	2849	567
834	2853	563
835	2857	560
836	2861	557
837	2864	553
838	2867	550
839	2871	546
840	2879	544
841	2883	541
842	2886	537
843	2889	534
844	2893	530
845	2896	527
846	2899	523
847	2902	520
848	2906	516
849	2909	513
850	2912	510
851	2916	506
852	2919	503
853	2923	499
854	2926	496
855	2930	492
856	2933	489
857	2938	486
858	2941	482
859	2945	479
860	2948	476
861	2951	472
862	2955	469
863	2959	465
864	2961	462
865	2965	458
866	2968	455
867	2972	452
868	2975	448
869	2979	445
870	2982	441
871	2986	438
872	2990	434
873	2993	431
874	2996	428
875	3000	424
876	3004	421
877	3007	417
878	3011	414
879	3016	411
880	3020	407
881	3023	404
882	3027	401
883	3030	397
884	3033	394
885	3036	390
886	3039	387
887	3043	383
888	3046	380
889	3051	377
890	3054	373
891	3057	370
892	3060	366
893	3064	363
894	3067	359
895	3071	356
896	3074	353
897	3078	349
898	3081	346
899	3085	342
900	3089	339
901	3092	336
902	3096	332
903	3100	329
904	3103	325
905	3106	322
906	3110	318
907	3113	315
908	3117	312
909	3121	308
910	3124	305
911	3127	301
912	3131	298
913	3134	294
914	3137	291
915	3141	288
916	3144	284
917	3148	281
918	3151	277
919	3154	274
920	3158	270
921	3162	267
922	3164	264
923	3168	260
924	3171	257
925	3175	253
926	3177	250
927	3181	246
928	3184	243
929	3187	239
930	3190	236
931	3194	233
932	3198	229
933	3201	226
934	3204	222
935	3208	219
936	3212	215
937	3214	212
938	3218	209
939	3222	205
940	3226	202
941	3229	198
942	3233	195
943	3236	191
944	3238	188
945	3241	185
946	3245	181
947	3248	178
948	3252	174
949	3255	171
950	3259	167
951	3263	164
952	3266	161
953	3270	157
954	3273	154
955	3277	150
956	3280	147
957	3285	144
958	3288	140
959	3292	137
960	3297	133
961	3301	130
962	3305	126
963	3308	123
964	3312	120
965	3315	116
966	3317	113
967	3321	109
968	3325	106
969	3327	102
970	3331	99
971	3334	96
972	3338	92
973	3342	89
974	3345	85
975	3349	82
976	3352	78
977	3356	75
978	3360	72
979	3363	68
980	3366	65
981	3370	61
982	3374	58
983	3378	54
984	3380	51
985	3383	48
986	3386	44
987	3390	41
988	3393	37
989	3397	34
990	3400	30
991	3404	27
992	3408	24
993	3411	20
994	3414	17
995	3417	13
996	3421	10
997	3425	6
998	3428	3
999	3432	0
